x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	y
1	1991	Jan	162.1	29.1	1229	0	4	0	0	0	-0.002288	5600
2	1991	Feb	256.9	31.5	999	0	4	0	0	0	-0.002288	9463
3	1991	Mar	151.15	41.9	734	0	4	0	0	0	-0.002288	5154
4	1991	Apr	118.76	53.4	373	0	4	0	0	0	-0.0006	3576
5	1991	May	100.71	63.7	162	94	4	0	0	0	-0.000634	2894
6	1991	Jun	83.97	72.9	4	211	4	0	0	0	-0.000634	2257
7	1991	Jul	99.4	76.8	0	328	4	0	0	0	-0.000473	2826
8	1991	Aug	103.64	75	0	261	4	0	0	0	-0.000473	2986
9	1991	Sep	71.59	68.4	52	110	4	0	0	0	-0.000473	1774
10	1991	Oct	94.92	56.8	326	18	4	0	0	0	-0.001002	2713
11	1991	Nov	78.83	43.3	644	0	4	0	0	0	-0.001002	2092
12	1991	Dec	182.85	32.5	1049	0	4	0	0	0	-0.001002	6109
13	1992	Jan	165.23	29.1	1229	0	4	0	0	0	-0.00087	5400
14	1992	Feb	197.94	31.5	999	0	4	0	0	0	-0.00087	6657
15	1992	Mar	146.8	41.9	734	0	4	0	0	0	-0.00087	4692
16	1992	Apr	127.17	53.4	373	0	4	0	0	0	-0.002652	4243
17	1992	May	112.4	63.7	162	94	4	0	0	0	-0.002652	3631
18	1992	Jun	70.35	72.9	4	211	4	0	0	0	-0.002652	1891
19	1992	Jul	72.98	76.8	0	328	4	0	0	0	-0.001505	1905
20	1992	Aug	82.8	75	0	261	4	0	0	0	-0.001505	2292
21	1992	Sep	70.33	68.4	52	110	4	0	0	0	-0.001505	1800
22	1992	Oct	76.13	56.8	326	18	4	0	0	0	-0.001908	2063
23	1992	Nov	75.54	43.3	644	0	4	0	0	0	-0.001908	2040
24	1993	Dec	130.32	32.5	1049	0	4	0	0	0	-0.001908	4236
25	1993	Jan	180.08	29.1	1229	0	4	0	0	0	-0.001643	6163
26	1993	Feb	222.99	31.5	999	0	4	0	0	0	-0.001643	7864
27	1993	Mar	214.45	41.9	734	0	4	0	0	0	-0.001643	7526
28	1993	Apr	160.98	53.4	373	0	4	0	0	0	0.000161	5028
29	1993	May	99.34	63.7	162	94	4	0	0	0	0.000161	2754
30	1993	Jun	75.31	72.9	4	211	4	0	0	0	0.000161	1868
31	1993	Jul	134.99	76.8	0	328	4	0	0	0	-0.00119	4294
32	1993	Aug	100.22	75	0	261	4	0	0	0	-0.00119	2940
33	1993	Sep	90.79	68.4	52	110	4	0	0	0	-0.00119	2573
34	1993	Oct	64.62	56.8	326	18	4	0	0	0	-0.001869	1599
35	1993	Nov	72.79	43.3	644	0	4	0	0	0	-0.001869	1926
36	1993	Dec	135.56	32.5	1049	0	4	0	0	0	-0.001869	4439
37	1994	Jan	*	29.1	1229	0	4	0	0	0	-0.003141	5494
38	1994	Feb	158.59	31.5	999	0	4	0	0	0	-0.003141	5664
39	1994	Mar	183.06	41.9	734	0	4	0	0	0	-0.003141	6699
40	1994	Apr	115.95	53.4	373	0	4	0	0	0	-0.003939	4002
41	1994	May	82.27	63.7	162	94	4	0	0	0	-0.003939	2525
42	1994	Jun	69.33	72.9	4	211	4	0	0	0	-0.003939	1958
43	1994	Jul	91.38	76.8	0	328	4	0	0	0	-0.001548	2635
44	1994	Aug	80.28	75	0	261	4	0	0	0	-0.001439	2187
45	1994	Sep	70	68.4	52	110	4	0	0	0	-0.001439	1782
46	1994	Oct	56.47	56.8	326	18	4	0	0	0	-0.0116139	2156
47	1994	Nov	56.47	43.3	644	0	4	0	0	0	-0.0116139	2156
48	1994	Dec	71.63	32.5	1049	0	4	0	0	0	-0.0116139	3184
49	1995	Jan	129.06	29.1	1229	0	4	0	0	0	-0.011416	6980
50	1995	Feb	154.32	31.5	999	0	4	0	0	0	-0.011257	8573
51	1995	Mar	174.8	41.9	734	0	4	0	0	0	-0.009322	8751
52	1995	Apr	113.25	53.4	373	0	4	0	0	0	-0.009322	5163
53	1995	May	94.23	63.7	162	94	4	0	0	0	-0.009322	4055
54	1995	Jun	69.79	72.9	4	211	4	0	0	0	-0.009322	2630
55	1995	Jul	89.06	76.8	0	328	4	0	0	0	-0.009516	3798
56	1995	Aug	96.29	75	0	261	4	0	0	0	-0.009516	4225
57	1995	Sep	107.3	68.4	52	110	4	0	0	0	-0.009106	4754
58	1995	Oct	77.9	56.8	326	18	4	0	0	0	-0.008248	2911
59	1995	Nov	74.67	43.3	644	0	4	0	0	0	-0.008248	2735
60	1995	Dec	150.11	32.5	1049	0	4	0	0	0	-0.008248	6861
61	1996	Jan	218.67	29.1	1229	0	4	0	0	0	-0.009793	11644
62	1996	Feb	256.02	31.5	999	0	4	0	0	0	-0.009676	13784
63	1996	Mar	222.21	41.9	734	0	4	0	0	0	-0.010662	12544
64	1996	Apr	189.44	53.4	373	0	4	0	0	0	-0.010662	10463
65	1996	May	107.82	63.7	162	94	4	0	0	0	-0.010662	5280
66	1996	Jun	77.76	72.9	4	211	4	0	0	0	-0.010662	3371
67	1996	Jul	70.31	76.8	0	328	4	0	0	0	-0.010662	2898
68	1996	Aug	80.85	75	0	261	4	0	0	0	-0.010662	3567
69	1996	Sep	56.05	68.4	52	110	4	0	0	0	-0.010662	1992
70	1996	Oct	49.53	56.8	326	18	4	0	0	0	-0.012388	1784
71	1996	Nov	54.01	43.3	644	0	4	0	0	0	-0.012388	2105
72	1996	Dec	107.94	32.5	1049	0	4	0	0	0	-0.012388	5975
73	1997	Jan	155.99	29.1	1229	0	4	0	1	0	0.000689	4746
74	1997	Feb	198.82	31.5	999	0	4	0	1	0	0.000689	6295
75	1997	Mar	106.51	41.9	734	0	4	0	1	0	0.000615	2966
76	1997	Apr	81.45	53.4	373	0	4	0	1	0	0.000578	2061
77	1997	May	75.95	63.7	162	94	4	0	1	0	0.000578	1861
78	1997	Jun	60.83	72.9	4	211	4	0	1	0	0.000578	1312
79	1997	Jul	58.2	76.8	0	328	4	0	1	0	0.003213	1106
80	1997	Aug	65.61	75	0	261	4	0	1	0	0.003213	1350
81	1997	Sep	57.78	68.4	52	110	3	0	1	0	0.001392	1166
82	1997	Oct	49.4	56.8	326	18	3	0	1	0	0.00062	920
83	1997	Nov	52.86	43.3	644	0	3	0	1	0	0.00062	1021
84	1997	Dec	78.13	32.5	1049	0	3	0	1	0	0.000123	1975
85	1998	Jan	100.43	29.1	1229	0	3	0	1	0	0.001154	2691
86	1998	Feb	102.64	31.5	999	0	3	0	1	0	0.001154	2769
87	1998	Mar	66.77	41.9	734	0	3	0	1	0	0.000995	1504
88	1998	Apr	65.68	53.4	373	0	3	0	1	0	0.001984	1413
89	1998	May	37.03	63.7	162	94	4	0	1	0	0.001984	562
90	1998	Jun	37.88	72.9	4	211	4	0	1	0	0.001984	581
91	1998	Jul	42.44	76.8	0	328	4	0	1	0	0.001984	698
92	1998	Aug	46.18	75	0	261	4	0	1	0	0.001984	798
93	1998	Sep	42.87	68.4	52	110	3	0	1	0	0.001984	710
94	1998	Oct	41.99	56.8	326	18	3	0	1	1	0.000786	710
95	1998	Nov	34.49	43.3	644	0	3	0	1	1	0.000786	521
96	1998	Dec	40.97	32.5	1049	0	3	0	1	1	0.000786	682
97	1999	Jan	62.5	29.1	1229	0	3	0	1	1	0.000734	1365
98	1999	Feb	93.9	31.5	999	0	3	0	1	1	0.000734	2498
99	1999	Mar	45.36	41.9	734	0	3	0	1	1	0.000734	805
100	1999	Apr	44.64	53.4	373	0	3	0	1	1	0.000584	788
101	1999	May	28.23	63.7	162	94	4	0	1	1	0.000584	384
102	1999	Jun	22.84	72.9	4	211	4	0	1	1	0.000584	264
103	1999	Jul	27.96	76.8	0	328	4	0	1	1	0.000584	378
104	1999	Aug	0	75	0	261	4	0	1	1	0.000584	1887
105	1999	Sep	153.32	68.4	52	110	3	1	1	1	0.000584	1887
106	1999	Oct	86.03	56.8	326	18	3	1	1	1	0.000584	2227
107	1999	Nov	80.96	43.3	644	0	3	1	1	1	0.000584	2043
108	1999	Dec	92.15	32.5	1049	0	3	1	1	1	0.000584	2449
