x1	x13
2012 	130210320 
2011 	110150782 
2010 	77391030 
2009 	(11637577)
2008 	15258818 
2007 	97583411 
2006 	128200283 
2005 	113920930 
2004 	103984060 
2003 	102570524 
2002 	89439583 
2001 	74131124 
2000 	70795046 
1999 	71527729 
1998 	61885315 
1997 	59159284 
1996 	52324224 
1995 	48776028 
1994 	44624072 
1993 	43041783 
1992 	31990373 
1991 	17935435 
1990 	15991078 
1989 	15574853 
1988 	24812194 
1987 	2803219 
1986 	17417674 
1985 	17977015 
1984 	15501811 
1983 	14931000 
1982 	14996000 
1981 	14803000 
1980 	14010000 
1979 	12838000 
1978 	10759000 
1977 	8879000 
1976 	7843000 
1975 	7255000 
1974 	7078920 
1973 	6581866 
1972 	5655762 
1971 	5236361 
1970 	4837040 
1969 	4333850 
1968 	3786000 
1967 	3508846 
1966 	3039647 
1965 	2861412 
1964 	2602000 
1963 	2393000 
1962 	2348000 
1961 	2374000 
1960 	2257000 
1959 	1553000 
1958 	2082000 
1957 	1578000 
1956 	1476000 
1955 	1320000 
1954 	1473000 
1953 	1070000 
1952 	1067000 
1951 	1047000 
1950 	1072000 
1949 	968000 
1948 	941000 
1947 	775000 
1946 	894000 
1945 	894000 
1944 	736000 
1943 	623000 
1942 	426000 
1941 	436000 
1940 	383000 
1939 	370000 
1938 	281000 
1937 	357000 
1936 	490000 
1935 	174000 
1934 	(357000)
